order,name,term_start,term_end,party,birth,death,portrait_link
36,Lyndon B. Johnson,"November 22, 1963","January 20, 1969",Democratic,1908,1973,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/37_Lyndon_Johnson_3x4.jpg/300px-37_Lyndon_Johnson_3x4.jpg
37,Richard Nixon,"January 20, 1969","August 9, 1974",Republican,1913,1994,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Richard_Nixon_presidential_portrait_%281%29.jpg/300px-Richard_Nixon_presidential_portrait_%281%29.jpg
38,Gerald Ford,"August 9, 1974","January 20, 1977",Republican,1913,2006,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg/300px-Gerald_Ford_presidential_portrait_%28cropped_3%29.jpg
39,Jimmy Carter,"January 20, 1977","January 20, 1981",Democratic,1924,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/JimmyCarterPortrait2.jpg/300px-JimmyCarterPortrait2.jpg
40,Ronald Reagan,"January 20, 1981","January 20, 1989",Republican,1911,2004,https://upload.wikimedia.org/wikipedia/commons/thumb/1/16/Official_Portrait_of_President_Reagan_1981.jpg/300px-Official_Portrait_of_President_Reagan_1981.jpg
41,George H. W. Bush,"January 20, 1989","January 20, 1993",Republican,1924,2018,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/George_H._W._Bush_presidential_portrait_%28cropped%29.jpg/300px-George_H._W._Bush_presidential_portrait_%28cropped%29.jpg
42,Bill Clinton,"January 20, 1993","January 20, 2001",Democratic,1946,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Bill_Clinton.jpg/300px-Bill_Clinton.jpg
43,George W. Bush,"January 20, 2001","January 20, 2009",Republican,1946,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/George-W-Bush.jpeg/300px-George-W-Bush.jpeg
44,Barack Obama,"January 20, 2009","January 20, 2017",Democratic,1961,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/President_Barack_Obama%2C_2012_portrait_crop.jpg/300px-President_Barack_Obama%2C_2012_portrait_crop.jpg
45,Donald Trump,"January 20, 2017","January 20, 2021",Republican,1946,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Donald_Trump_official_portrait_%28cropped%29.jpg/300px-Donald_Trump_official_portrait_%28cropped%29.jpg
46,Joe Biden,"January 20, 2021",,Democratic,1942,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Joe_Biden_presidential_portrait_%28cropped%29.jpg/300px-Joe_Biden_presidential_portrait_%28cropped%29.jpg
